Place,Bib,Name,Division,Division Place,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
96,223,K Katie TARDIF,F 35-39,2,Wave 3,19:07,2:22,27:37,0:47,24:02,1:13:58,1:22:00
97,387,L Lorraine HUETHER,Top5 F Masters,5,Wave 4,18:15,2:07,24:56,1:20,27:23,1:14:02,1:27:10
98,56,M Matthew HERTZ,M 30-34,5,Wave 1,20:15,2:30,25:47,1:25,24:09,1:14:08,1:14:08
99,441,S Steven HORN,M 55-59,7,Wave 4,19:47,2:13,26:44,1:28,23:59,1:14:12,1:27:21
100,423,J Julia LARESE,F 55-59,1,Wave 3,19:51,2:14,25:40,1:26,25:12,1:14:25,1:22:27
101,308,D David STEIN,M 55-59,8,Wave 4,19:06,3:28,23:27,1:45,26:37,1:14:26,1:27:34
102,450,T Thomas O'DWYER,Clydes 39-,1,Wave 1,17:23,4:51,26:37,1:14,24:20,1:14:27,1:14:27
103,239,J Jessica BUGHMAN,F 40-44,1,Wave 3,19:59,2:40,27:27,1:27,22:59,1:14:34,1:22:36
104,192,E Elissa CANDIOTTI,F 25-29,1,Wave 3,19:59,2:23,27:10,1:22,23:38,1:14:34,1:22:37
105,54,T Tyler KORONA,M 30-34,6,Wave 1,23:00,1:48,24:16,1:26,24:09,1:14:39,1:14:39
106,99,M Matthew LOESCH,M 40-44,10,Wave 1,20:01,2:51,24:38,1:32,25:53,1:14:58,1:14:58
107,141,M Michael GUTIERREZ,M 25-29,7,Wave 2,18:56,3:07,27:25,1:03,24:30,1:15:03,1:19:03
108,63,W William DUERR,M 35-39,7,Wave 1,24:59,2:07,22:37,1:27,23:54,1:15:05,1:15:05
109,174,K Keith DORAN,M 50-54,9,Wave 2,18:07,2:21,25:33,1:19,27:45,1:15:07,1:19:07
110,275,J Joan LYNCH,F 55-59,2,Wave 3,17:30,2:18,25:58,1:38,27:47,1:15:13,1:23:15
111,431,D David WANG,M 30-34,7,Wave 1,17:20,2:58,29:40,1:37,23:38,1:15:15,1:15:15
112,247,E Emilie MARSHALL,F 45-49,1,Wave 3,17:30,2:22,27:19,1:21,26:50,1:15:24,1:23:27
113,326,S Stephen SYLWESTER,M 55-59,9,Wave 4,24:21,3:19,22:44,0:54,24:04,1:15:24,1:28:32
114,638,R Ryan SILVA,M 35-39,8,Wave 1,21:49,2:47,27:15,1:57,21:48,1:15:38,1:15:38
115,31,J Janine LEVEQUE,F 55-59,3,Wave 3,19:01,5:07,26:21,1:45,23:28,1:15:44,1:23:47
116,207,O Olivia KORHONEN,F 25-29,2,Wave 3,21:16,2:20,26:11,1:18,24:40,1:15:47,1:23:49
117,82,J Joe AZZATA,M 40-44,11,Wave 1,18:09,1:35,27:58,1:11,26:57,1:15:52,1:15:52
118,170,B Brian SULLIVAN,M 50-54,10,Wave 2,19:00,3:43,25:34,1:43,25:54,1:15:57,1:19:56
119,251,L Laura MARINO,F 45-49,2,Wave 3,19:49,2:05,26:14,1:30,26:26,1:16:06,1:24:09
120,59,E Edwin GUTIERREZ,M 35-39,9,Wave 1,19:30,2:28,25:09,2:12,26:47,1:16:08,1:16:08
121,163,M Michael FREEDBERG,M 45-49,6,Wave 2,19:08,3:39,27:02,1:27,24:56,1:16:14,1:20:13
122,13,D Dan GAVIGAN,M 20-24,5,Wave 2,18:25,3:33,29:25,1:00,24:00,1:16:25,1:20:25
123,101,C Colin PETRIE,M 25-29,8,Wave 2,21:53,2:14,27:52,0:48,23:44,1:16:33,1:20:33
124,283,K Karen CONKLING,F 55-59,4,Wave 3,19:53,2:45,27:17,0:47,25:51,1:16:34,1:24:36
125,200,M Maggie HUANG,F 30-34,3,Wave 3,18:31,2:31,28:06,1:11,26:19,1:16:41,1:24:43
126,175,J James NOUMAIR,M 50-54,11,Wave 2,19:29,3:16,25:45,2:05,26:04,1:16:41,1:20:41
127,444,R Robert SIMMONS,M 60-64,5,Wave 4,19:49,3:21,24:39,1:49,27:05,1:16:45,1:29:53
128,344,L Laszlo KATONA,M 60-64,6,Wave 4,22:02,2:58,25:11,2:07,24:25,1:16:46,1:29:54
129,118,K Kenny LEVERICH,M 14-19,9,Wave 2,23:51,3:03,28:24,0:59,20:34,1:16:51,1:20:51
130,334,A August FINGER,M 60-64,7,Wave 4,21:28,3:09,24:57,1:45,25:42,1:17:02,1:30:10
131,338,D David GUGERTY,M 60-64,8,Wave 4,18:29,2:47,26:38,1:33,27:36,1:17:06,1:30:14
132,302,A Adam ALTER,Clydes 39-,2,Wave 2,23:22,2:51,25:52,1:18,23:44,1:17:08,1:21:08
133,48,A Alex TAM,M 30-34,8,Wave 1,20:59,3:03,26:02,1:28,25:34,1:17:08,1:17:08
134,269,D Doreen KRALICK,F 55-59,5,Wave 3,19:07,2:28,24:05,1:28,30:00,1:17:11,1:25:13
135,591,A Allan CHU,M 14-19,10,Wave 2,12:04,2:50,35:43,1:11,25:23,1:17:14,1:21:13
136,136,E Evan GREENBERG,M 25-29,9,Wave 2,21:30,3:41,23:41,1:47,26:35,1:17:16,1:21:15
137,217,S Samantha ROTHBERG,F 30-34,4,Wave 3,19:49,2:16,27:40,1:26,26:11,1:17:23,1:25:26
138,419,N Nicole MAMMINA,F 35-39,3,Wave 3,19:10,2:32,25:07,1:10,29:33,1:17:34,1:25:36
139,69,V Vasilis XIKIS,M 35-39,10,Wave 1,22:15,2:27,26:10,1:43,24:57,1:17:35,1:17:35
140,278,H Helga JUNOLD,F 55-59,6,Wave 3,20:01,1:25,24:59,1:35,29:35,1:17:37,1:25:40
